passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount
Jacqueline Mclean DVM,10/11/2017 12:34:49 PM,10/11/2017 1:22:38 PM,Debit Card,1,12.3,68.25,12,16.26
Krista Stewart,01/06/2017 8:12:07 PM,01/06/2017 8:18:37 PM,Cash,1,0.52,5.5,1,0
Mike Taylor,06/27/2017 12:08:22 AM,06/27/2017 12:13:45 AM,Credit Card,1,1.7,7,2.05,0
Heather Johnson,02/13/2017 10:29:33 AM,02/13/2017 10:34:11 AM,Cash,1,0.9,5.5,1.25,0
Tiffany Ramirez,01/14/2017 7:58:42 PM,01/14/2017 8:05:59 PM,Debit Card,1,1.72,8,2.79,0
James Taylor,11/04/2017 1:27:59 AM,11/04/2017 1:44:05 AM,Credit Card,1,2.7,13,2.85,0
Gabriela Bryan,11/24/2017 10:48:13 AM,11/24/2017 10:52:57 AM,Cash,1,0.85,5.5,0,0
Janet Hogan MD,11/22/2017 10:24:17 AM,11/22/2017 10:38:52 AM,Cash,1,2.3,11,2.35,0
David Burton,11/06/2017 8:30:50 PM,11/07/2017 12:00:00 AM,Credit Card,1,30.83,80,18.56,11.52
Jessica Cohen,08/09/2017 9:01:50 PM,08/09/2017 9:14:28 PM,Cash,1,2.3,10.5,1.77,0
Katherine Martin,04/12/2017 11:07:56 AM,04/12/2017 11:19:29 AM,Cash,4,1.5,9,0,0
Amy Larsen,07/26/2017 11:26:50 PM,07/26/2017 11:55:49 PM,Cash,1,14.32,40.5,0,0
Adrienne Mitchell,10/26/2017 7:43:07 PM,10/26/2017 8:06:02 PM,Cash,1,2.9,15.5,3.45,0
Michael Murphy,03/04/2017 6:19:04 PM,03/04/2017 6:32:13 PM,Credit Card,1,1.7,10.5,1.7,0
Benjamin Walls,11/05/2017 1:35:25 AM,11/05/2017 1:43:39 AM,Cash,5,2.69,9.5,0,0
Steven Valdez,02/24/2017 11:24:50 AM,02/24/2017 11:29:18 AM,Debit Card,1,0.6,5,0,0
Craig Cook,02/23/2017 8:04:57 AM,02/23/2017 8:18:48 AM,Cash,1,2.11,11.5,2.46,0
Amanda Burns MD,02/12/2017 6:45:41 PM,02/12/2017 6:48:58 PM,Cash,4,0.4,4,0.72,0
Gregory Stevens,12/08/2017 12:21:55 PM,12/08/2017 12:30:38 PM,Cash,1,1.28,7.5,5,0
Jennifer Allen,09/15/2017 7:09:51 PM,09/15/2017 7:23:06 PM,Debit Card,3,1.23,9.5,2.26,0
Heather Leonard,02/25/2017 7:41:32 AM,02/25/2017 7:50:26 AM,Cash,1,2,9,1.95,0
Dr. Christy Velasquez,12/08/2017 7:59:11 AM,12/08/2017 8:15:32 AM,Cash,1,4.52,16.5,2,0
Jasmin Oconnell,04/26/2017 11:18:27 AM,04/26/2017 11:24:59 AM,Cash,2,1.12,6.5,1.82,0
Jasmine Hull,02/15/2017 5:30:24 PM,02/15/2017 5:35:24 PM,Credit Card,1,0.59,5,1.36,0
Grace Duran,08/14/2017 5:15:32 PM,08/14/2017 5:25:28 PM,Credit Card,1,1.5,8.5,2.55,0
Lauren Wilson,09/05/2017 3:10:20 PM,09/05/2017 3:25:25 PM,Cash,4,1.71,10.5,0,0
Amber Wise,01/13/2017 2:37:24 AM,01/13/2017 3:17:34 AM,Debit Card,4,8.69,31.5,6.56,0
Daniel Thompson,03/11/2017 4:46:32 AM,03/11/2017 4:57:02 AM,Credit Card,6,2.69,11,0,0
Kayla Navarro,04/27/2017 7:26:57 AM,04/27/2017 7:28:21 AM,Cash,1,0.42,3.5,0.86,0
Sarah Moore DDS,07/13/2017 8:23:29 AM,07/13/2017 8:47:40 AM,Cash,2,7.37,25.5,0,0
Benjamin Johnson,04/04/2017 4:22:03 PM,04/04/2017 4:35:30 PM,Cash,1,2.2,,0,0
Erin Parker,01/05/2017 2:56:32 PM,01/05/2017 3:24:31 PM,Cash,2,2.6,17.5,0,0
Cynthia Garcia,03/28/2017 7:10:03 PM,03/28/2017 7:13:20 PM,Cash,1,0.8,4.5,1.26,0
Eduardo Brown,09/01/2017 9:37:29 AM,09/01/2017 10:00:14 AM,Debit Card,1,2.9,16,0,0
Kristen Owens,08/17/2017 10:06:12 PM,08/17/2017 10:32:06 PM,Cash,1,11.07,32.5,6.76,0
Luis Martin,02/10/2017 11:47:00 AM,02/10/2017 12:09:43 PM,Debit Card,1,2.7,15.5,4.05,0
Stephen Huffman,03/07/2017 8:19:42 PM,03/07/2017 8:29:08 PM,Cash,2,2.51,10,3.39,0
Aaron Pham,03/18/2017 12:12:18 PM,03/18/2017 12:20:32 PM,Debit Card,1,0.78,7,0,0
Michelle Hughes,03/03/2017 8:02:59 AM,03/03/2017 8:05:43 AM,Credit Card,1,0.85,4.5,1.59,0
Bonnie Henderson,04/26/2017 6:08:41 PM,04/26/2017 6:11:08 PM,Cash,5,0.38,4,1.16,0
Kaitlin Watkins,04/21/2017 3:08:21 PM,04/21/2017 3:18:09 PM,Cash,1,1.15,8,1.76,0
John Reed,02/04/2017 6:04:26 PM,02/04/2017 6:19:15 PM,Credit Card,1,7.16,21,0,0
Manuel Dickson,10/05/2017 9:39:28 AM,10/05/2017 9:42:32 AM,Debit Card,36,0.22,21.5,0,0
John Tucker,03/17/2017 9:17:05 AM,03/17/2017 9:21:34 AM,Debit Card,1,0.7,5,1.15,0
Maria Williams,12/31/2017 1:03:12 PM,12/31/2017 1:06:52 PM,Cash,6,0.71,4.5,0,0
Thomas Johnson,12/12/2017 11:12:23 AM,12/12/2017 12:01:01 PM,Cash,1,3.1,28,5.76,0
Steven Parker,09/03/2017 11:15:56 PM,09/03/2017 11:31:25 PM,Cash,2,2.96,13,2.86,0
Scott Rodriguez,12/13/2017 7:06:10 AM,12/13/2017 7:11:40 AM,Credit Card,1,0.8,5.5,1,0
Timothy Payne,08/01/2017 6:09:45 PM,08/01/2017 6:14:05 PM,Credit Card,1,0.96,5.5,0,0
Angela Holder,10/10/2017 2:40:11 PM,10/10/2017 2:54:27 PM,Credit Card,4,1.9,10.5,0,0
Jennifer Martin,08/05/2017 10:28:06 PM,08/05/2017 10:34:13 PM,Debit Card,4,0.97,6.5,0,0
Chris Jones,08/13/2017 3:50:10 AM,08/13/2017 3:53:43 AM,Credit Card,2,0.95,5,1,0
Kelly Reed,04/25/2017 10:20:43 PM,04/25/2017 10:25:28 PM,Cash,4,1.02,6,1.46,0
Stephanie Mcdaniel,05/01/2017 9:42:27 AM,05/01/2017 9:47:29 AM,Cash,1,0.78,5,1,0
Daniel Cruz,06/03/2017 6:55:02 PM,06/03/2017 7:03:22 PM,Cash,6,1.16,7,1.95,0
James Thomas,04/16/2017 2:43:35 AM,04/16/2017 3:04:48 AM,Credit Card,3,4.3,17.5,2.22,0
Courtney Taylor,02/25/2017 1:04:27 PM,02/25/2017 1:15:41 PM,Debit Card,1,1.9,9.5,2.55,0
Vincent Vargas,03/17/2017 10:00:41 PM,03/17/2017 10:22:57 PM,Credit Card,2,11.2,31.5,6.56,0
Holly Maldonado,01/10/2017 9:06:58 PM,01/10/2017 9:13:20 PM,Credit Card,1,2,8,0,0
Rhonda Harris,11/16/2017 9:31:00 AM,11/16/2017 9:43:17 AM,Debit Card,2,1.02,8.5,1.86,0
John Fisher,10/28/2017 4:16:54 AM,10/28/2017 4:33:06 AM,Debit Card,3,5.11,16.5,5.34,0
Amy Edwards,10/13/2017 3:48:39 PM,10/13/2017 3:56:17 PM,Cash,1,0.96,6.5,0,0
Katherine Briggs,09/20/2017 11:46:44 PM,09/20/2017 11:54:08 PM,Cash,1,1.9,8,1.86,0
Richard Gregory,07/29/2017 1:27:34 PM,07/29/2017 1:36:28 PM,Cash,1,1.6,8,1,0
Kristi Ray,09/06/2017 11:37:10 AM,09/06/2017 11:40:44 AM,Credit Card,1,0.4,4.5,0,0
Amy Baker,09/28/2017 7:17:44 AM,09/28/2017 7:21:35 AM,Cash,1,0.9,5,1,0
Angela Smith,08/18/2017 1:17:32 AM,08/18/2017 1:34:48 AM,Debit Card,1,4.96,17,3.66,0
Karen Carpenter DVM,02/28/2017 6:02:05 PM,02/28/2017 6:13:30 PM,Cash,1,4.9,16,5.3,0
Mr. Paul Owens,03/10/2017 6:31:50 PM,03/10/2017 6:58:46 PM,Cash,1,9.6,30.5,0,0
Teresa Phillips,05/06/2017 2:54:22 PM,05/06/2017 3:19:17 PM,Credit Card,1,2.9,17.5,0,0
Rebecca Graham,07/15/2017 12:28:27 AM,07/15/2017 12:37:09 AM,Cash,2,1.62,8,1,0
Elizabeth Summers,10/17/2017 2:29:39 PM,10/17/2017 3:00:14 PM,Credit Card,1,13.8,39,9.1,5.76
Alyssa Zuniga,02/11/2017 7:09:12 PM,02/11/2017 7:32:20 PM,Cash,1,1.7,14.5,1,0
Daniel Thomas,06/23/2017 7:53:53 PM,06/23/2017 8:00:57 PM,Cash,2,0.88,6.5,0.5,0
Tony Love,03/26/2017 8:06:55 PM,03/26/2017 8:14:43 PM,Cash,1,1.46,7,1.24,0
James Ponce,07/27/2017 10:10:04 AM,07/27/2017 10:23:13 AM,Debit Card,1,1.66,10,1.2,0
Kimberly Cole,12/11/2017 8:04:27 PM,12/11/2017 8:16:10 PM,Cash,1,1.63,9.5,2.16,0
Kevin Sosa,11/18/2017 1:04:54 PM,11/18/2017 1:39:53 PM,Debit Card,1,10,34.5,7.05,0
Dr. Daniel Davidson,03/18/2017 11:41:50 PM,03/18/2017 11:49:21 PM,Cash,1,1.42,7,0,0
Angelica Barker,02/07/2017 8:56:08 AM,02/07/2017 9:07:32 AM,Cash,1,0.72,8,0,0
Crystal Wright,03/31/2017 8:18:22 PM,03/31/2017 8:50:17 PM,Cash,3,9.67,31,8.08,0
Denise Clements,05/24/2017 8:46:11 PM,05/24/2017 9:02:29 PM,Debit Card,1,2.3,12.5,2.75,0
Brian West,02/15/2017 8:16:09 PM,02/15/2017 8:39:44 PM,Cash,1,4.7,18.5,3,0
Harold Myers,09/29/2017 11:38:58 AM,09/29/2017 12:10:34 PM,Cash,1,3.5,19.5,0,0
Michelle Smith,08/16/2017 9:30:43 AM,08/16/2017 9:46:07 AM,Cash,1,2.7,12.5,0,0
Peter Sanchez,06/13/2017 7:17:33 PM,06/13/2017 7:27:33 PM,Debit Card,2,1.07,8,0,0
Matthew Torres,08/05/2017 3:42:20 PM,08/05/2017 4:00:35 PM,Debit Card,2,2.3,13,0,0
Danielle Hall,05/13/2017 8:55:32 PM,05/13/2017 9:20:31 PM,Cash,1,6.93,24,0,0
Danielle Hall,04/10/2017 10:17:19 PM,04/10/2017 10:33:30 PM,Cash,6,2.95,13.5,0,0
Nathan Miller,06/03/2017 2:24:57 PM,06/03/2017 3:31:48 PM,Cash,1,18,52,0,0
Eric Duarte,11/17/2017 12:01:00 PM,11/17/2017 12:24:22 PM,Debit Card,6,6.25,22.5,4.66,0
Angelica Savage,09/28/2017 9:17:50 PM,09/28/2017 9:30:03 PM,Debit Card,1,1.8,9.5,0,0
Bradley Wright,04/01/2017 2:56:51 AM,04/01/2017 3:00:35 AM,Credit Card,6,0.63,4.5,1.16,0
Miranda Gilmore,10/21/2017 7:27:11 PM,10/21/2017 7:34:31 PM,Debit Card,2,1.3,7,0,0
Maria Perry,12/29/2017 5:22:05 PM,12/29/2017 5:32:05 PM,Cash,6,3.22,11.5,3.32,0
Edward Jones,09/27/2017 9:10:06 AM,09/27/2017 9:16:56 AM,Cash,2,1.09,6.5,1,0
Justin Johnson,07/09/2017 2:27:01 AM,07/09/2017 2:35:16 AM,Credit Card,1,0.79,7,0,0
Ariel Stokes,10/15/2017 1:04:26 AM,10/15/2017 1:09:50 AM,Cash,1,1.1,5.5,1.35,0
Chase Brewer,06/23/2017 5:55:36 PM,06/23/2017 6:29:34 PM,Cash,1,2.73,20.5,4.46,0
Rodney Martin,06/09/2017 11:53:57 PM,06/10/2017 12:02:51 AM,Debit Card,1,1.9,9,0,0
Dalton Davis,03/04/2017 4:40:16 PM,03/04/2017 4:56:11 PM,Cash,5,2.85,12.5,1,0
Nicole Boyd,09/08/2017 9:45:59 PM,09/08/2017 10:02:24 PM,Cash,1,1.8,11.5,0,0
Kelly Williams,04/07/2017 1:53:14 PM,04/07/2017 1:59:27 PM,Credit Card,2,0.83,6,0.7,0
Peter Bender,12/22/2017 11:49:37 AM,12/22/2017 12:21:07 PM,Cash,1,4.2,22,4.56,0
Crystal Henson,12/18/2017 7:21:19 PM,12/18/2017 7:37:07 PM,Credit Card,1,1.6,11,0,0
Nathan Barnett,12/06/2017 10:49:28 PM,12/06/2017 10:53:36 PM,Cash,1,0.5,4.5,2,0
Kimberly Perry,05/19/2017 8:05:49 AM,05/19/2017 8:20:09 AM,Credit Card,1,1.71,10.5,2.26,0
Linda Kaufman,06/22/2017 8:05:33 AM,06/22/2017 8:05:40 AM,Debit Card,1,0,20,0,0
Diana Odonnell MD,06/17/2017 12:21:33 AM,06/17/2017 12:26:29 AM,Debit Card,1,1.06,5.5,0,0
Daniel Miller,03/18/2017 11:23:48 PM,03/18/2017 11:43:44 PM,Cash,2,4.1,17.5,3.75,0
Tammy Moody,12/12/2017 4:50:38 PM,12/12/2017 4:56:27 PM,Debit Card,1,1.08,6,1.17,0
Sara Williamson,11/24/2017 3:17:47 PM,11/24/2017 3:33:57 PM,Credit Card,1,2.6,13,0,0
Tyler Turner,12/29/2017 4:04:10 PM,12/29/2017 4:10:06 PM,Credit Card,1,0.91,6,0,0
Victor Gomez,07/18/2017 7:11:53 PM,07/18/2017 7:23:35 PM,Cash,1,0.95,8.5,2,0
Adrienne Owens,01/08/2017 2:59:32 AM,01/08/2017 3:04:25 AM,Cash,1,1.71,6.5,1,0
David Burke,07/09/2017 3:01:18 AM,07/09/2017 3:11:20 AM,Cash,1,2.62,10,0,0
John Savage,08/28/2017 11:51:26 AM,08/28/2017 12:20:34 PM,Cash,1,9,28,0,0
Dawn Bradley,07/17/2017 2:20:31 PM,07/17/2017 2:24:40 PM,Debit Card,1,0.67,4.5,1.06,0
Scott Olsen,08/16/2017 9:37:16 PM,08/16/2017 9:42:40 PM,Credit Card,2,1.1,6,1.45,0
Erin Allen,12/13/2017 2:05:28 PM,12/13/2017 2:20:29 PM,Debit Card,2,2.14,11.5,0,0
Mark Todd,10/18/2017 7:42:38 AM,10/18/2017 7:49:21 AM,Cash,1,1.4,6.5,1.45,0
Lauren Dawson,12/26/2017 11:33:55 PM,12/26/2017 11:38:49 PM,Cash,1,1,5.5,0,0
Jeremy Brown,03/15/2017 9:17:04 PM,03/15/2017 9:23:59 PM,Cash,1,1.84,7.5,0,0
Angel Hudson,12/12/2017 12:32:11 PM,12/12/2017 12:35:27 PM,Cash,1,0.55,4,1.2,0
Jasmine Young,04/06/2017 2:45:19 AM,04/06/2017 2:47:22 AM,Cash,1,0.3,3.5,0,0
Ralph Elliott,04/14/2017 12:49:44 PM,04/14/2017 12:58:24 PM,Credit Card,1,1.39,8,2.2,0
Samuel Hodges,03/03/2017 9:18:43 AM,03/03/2017 9:34:52 AM,Cash,1,1.5,11,0,0
Mary Richmond,02/03/2017 6:24:44 AM,02/03/2017 6:30:49 AM,Cash,1,1.1,6,0,0
Jeffrey Allen,03/15/2017 3:42:07 PM,03/15/2017 3:46:27 PM,Credit Card,1,0.5,4.5,1.05,0
Shannon Johns,05/19/2017 2:10:22 PM,05/19/2017 2:28:56 PM,Cash,1,1.57,12.5,2.66,0
Tony Trevino,09/15/2017 10:13:28 PM,09/15/2017 10:15:57 PM,Cash,2,1.03,5,1.26,0
Barbara Gordon,04/17/2017 12:03:15 PM,04/17/2017 12:40:01 PM,Cash,5,11.51,39.5,0,5.76
Danielle Jones,09/01/2017 11:10:27 PM,09/01/2017 11:14:38 PM,Cash,2,0.65,5,0,0
Mrs. Cynthia Williams,11/29/2017 11:13:29 AM,11/29/2017 11:47:12 AM,Cash,1,2.8,20.5,3.2,0
Julie Collins,01/22/2017 12:35:47 AM,01/22/2017 1:05:47 AM,Cash,2,6.14,24.5,0,0
David Brooks,12/11/2017 10:21:18 AM,12/11/2017 11:14:57 AM,Debit Card,1,15.6,51.5,11.6,5.76
Ivan Cowan,10/24/2017 3:21:41 PM,10/24/2017 3:39:40 PM,Credit Card,1,1.5,12.5,3.95,0
Hector Mcdonald,12/04/2017 11:16:21 PM,12/04/2017 11:37:01 PM,Cash,1,7,23,3,0
Christopher Ford,04/21/2017 11:15:54 PM,04/21/2017 11:27:41 PM,Cash,1,2.6,11,3,0
Evelyn Willis,04/29/2017 1:29:04 PM,04/29/2017 1:48:15 PM,Debit Card,1,3.1,15,1,0
Jonathan Flores,11/11/2017 8:16:16 PM,11/11/2017 8:17:14 PM,Credit Card,1,0.23,52,0,0
Rebecca Patterson,04/12/2017 8:13:55 PM,04/12/2017 8:30:59 PM,Cash,1,2.1,12,2.65,0
Michael Mckinney,08/23/2017 3:26:21 PM,08/23/2017 3:42:56 PM,Credit Card,2,1.97,12,0,0
Margaret Cook,06/07/2017 7:55:31 AM,06/07/2017 8:10:37 AM,Cash,1,4.67,17,3.56,0
Sean Robinson,03/22/2017 10:55:41 PM,03/22/2017 11:18:02 PM,Cash,1,4.31,17.5,3.76,0
Mrs. Sarah Burke MD,06/08/2017 7:27:01 PM,06/08/2017 7:34:50 PM,Cash,1,0.84,6.5,0,0
Philip Cameron,10/05/2017 12:02:28 AM,10/05/2017 12:13:38 AM,Debit Card,2,2.34,10.5,2.36,0
Julia Davis,06/19/2017 1:03:56 AM,06/19/2017 1:07:06 AM,Credit Card,2,1.04,5,0,0
Brian Jones,04/15/2017 12:08:51 PM,04/15/2017 12:27:40 PM,Cash,6,2.84,14,2.96,0
Tracy Conner,05/31/2017 8:58:40 PM,05/31/2017 9:02:51 PM,Cash,2,0.3,4.5,0,0
Brian Reed,07/15/2017 10:34:32 PM,07/15/2017 11:02:01 PM,Credit Card,1,3.9,19,0,0
Nancy Thompson,02/12/2017 3:37:16 PM,02/12/2017 4:03:24 PM,Credit Card,1,5.27,22,0,0
Lacey Thompson,04/20/2017 7:13:18 AM,04/20/2017 7:29:07 AM,Cash,1,3.3,13.5,2.85,0
Cynthia White,06/22/2017 2:22:05 PM,06/22/2017 4:07:28 PM,Credit Card,1,16.9,71.5,0,0
Linda Lopez,08/16/2017 6:31:15 PM,08/16/2017 6:37:37 PM,Cash,1,1.4,6.5,1.65,0
Jorge Walker,06/13/2017 8:05:03 PM,06/13/2017 8:42:53 PM,Credit Card,1,18.05,69.5,0,10.5
Andrea Mathis,06/13/2017 7:04:30 PM,06/13/2017 7:09:05 PM,Debit Card,3,0.47,5,1.36,0
Kristi Young,07/08/2017 2:42:21 PM,07/08/2017 3:00:29 PM,Cash,3,2.3,13,2.76,0
Kerri Carey,12/27/2017 5:40:19 PM,12/27/2017 6:01:03 PM,Debit Card,1,8.32,25.5,5,5.76
Terry Smith,02/03/2017 8:40:17 PM,02/03/2017 8:44:15 PM,Debit Card,2,0.95,5.5,1.02,0
Douglas Weaver,01/20/2017 7:57:42 PM,01/20/2017 8:05:12 PM,Cash,1,0.66,6.5,1,0
John Morrow,06/07/2017 10:52:36 PM,06/07/2017 11:07:32 PM,Credit Card,1,3.8,14.5,3.15,0
Frank Barnes,05/01/2017 10:09:25 PM,05/01/2017 10:22:08 PM,Cash,1,2.4,11,3.05,0
Dawn Peterson,05/15/2017 8:22:26 AM,05/15/2017 8:57:04 AM,Debit Card,2,4.24,22.5,4.66,0
Renee Johnson,11/07/2017 7:38:58 AM,11/07/2017 7:50:30 AM,Debit Card,1,1.77,9.5,0,0
Ashley Bell,10/31/2017 10:24:38 PM,10/31/2017 10:46:52 PM,Cash,1,2.4,15,3.25,0
Tammy Duran,12/04/2017 5:39:14 PM,12/04/2017 5:56:05 PM,Credit Card,1,2.5,12.5,0,0
Maria Ibarra,08/21/2017 12:40:25 PM,08/21/2017 1:12:31 PM,Debit Card,3,15.2,,5,0
Henry Anderson,05/29/2017 9:48:43 PM,05/29/2017 9:57:47 PM,Cash,2,2.5,9.5,1.5,0
Laura Bennett,09/07/2017 8:10:12 AM,09/07/2017 8:15:38 AM,Credit Card,1,0.99,6,3,0
Dylan Meyer,10/05/2017 6:49:25 PM,10/05/2017 7:01:35 PM,Debit Card,2,2.2,10.5,1.6,0
Samantha Miller,09/15/2017 7:17:58 PM,09/15/2017 7:54:54 PM,Cash,2,3.3,22,4.75,0
Jessica Ortiz,04/15/2017 1:56:10 PM,04/15/2017 2:03:10 PM,Credit Card,1,1.13,7,0,0
Derek Beasley,03/05/2017 7:53:21 PM,03/05/2017 7:55:53 PM,Cash,1,0.43,4,0.96,0
Bruce Davis,09/26/2017 11:56:19 AM,09/26/2017 12:01:58 PM,Cash,1,1.72,7.5,0,0
Ian Porter,01/25/2017 6:33:16 PM,01/25/2017 6:55:51 PM,Cash,1,3.2,16,2,0
Angela Williams,08/13/2017 10:01:30 AM,08/13/2017 10:22:20 AM,Cash,6,10.01,29,8.89,5.76
Gregory Holmes,04/11/2017 4:13:04 PM,04/11/2017 4:18:29 PM,Credit Card,1,0.8,6,2.3,0
Jessica Santiago,01/24/2017 6:03:38 PM,01/24/2017 6:09:15 PM,Debit Card,1,1.35,6,1,0
Amanda Harding,02/25/2017 6:11:36 PM,02/25/2017 6:45:37 PM,Debit Card,5,3.85,21.5,0,0
David Chavez,11/17/2017 10:09:03 PM,11/17/2017 10:29:09 PM,Cash,5,1.6,12.5,0,0
Lisa Bullock,02/13/2017 4:25:41 PM,02/13/2017 4:55:35 PM,Cash,1,4.2,21,0,0
Lisa Bullock,02/13/2017 4:25:41 PM,02/13/2017 4:55:35 PM,Cash,1,4.2,21,0,0
Michele Figueroa,05/28/2017 9:33:34 PM,05/28/2017 9:41:22 PM,Debit Card,1,2.1,8.5,1.25,0
Dwayne Williams,07/20/2017 5:31:40 PM,07/20/2017 5:52:46 PM,Cash,1,0.78,13,2.96,0
Robert Ward,07/07/2017 5:23:56 AM,07/07/2017 5:26:24 AM,Cash,5,0.74,4.5,1.16,0
Christine Simpson,11/30/2017 9:06:14 PM,11/30/2017 9:14:01 PM,Cash,4,0.99,7,1,0
Bradley Smith,08/05/2017 3:32:48 PM,08/05/2017 3:39:57 PM,Cash,1,1.3,7,0,0
William Wright,11/18/2017 10:33:09 AM,11/18/2017 10:45:24 AM,Cash,6,2.21,10.5,1.7,0
Hannah Shepherd,01/27/2017 2:58:47 PM,01/27/2017 3:15:53 PM,Credit Card,3,1.9,12.5,2,0
Johnny Powell,06/24/2017 7:02:13 AM,06/24/2017 7:09:00 AM,Cash,1,1.32,7,1.1,0
Angel Adams,11/17/2017 8:45:06 PM,11/17/2017 8:54:02 PM,Credit Card,2,0.5,7,0,0
Lindsey Mathis,07/29/2017 1:22:34 PM,07/29/2017 1:49:07 PM,Cash,1,4.93,20,2,0
Lauren Becker,11/22/2017 1:15:43 AM,11/22/2017 1:23:38 AM,Cash,1,1.4,7.5,1.75,0
Amber Sellers,06/09/2017 4:47:06 PM,06/09/2017 5:14:38 PM,Credit Card,1,2.52,18,3.96,0
Paul Ortiz,04/11/2017 7:35:31 PM,04/11/2017 7:51:12 PM,Debit Card,1,2.69,12,0,0
Robert Smith,02/05/2017 5:46:38 PM,02/05/2017 5:57:53 PM,Debit Card,1,1.5,8.5,1,0
Victoria Hayes,10/12/2017 8:42:25 AM,10/12/2017 8:57:22 AM,Cash,1,1.36,10.5,2.26,0
Kevin Gentry,05/12/2017 8:52:40 AM,05/12/2017 9:09:29 AM,Cash,1,1.52,11.5,2.46,0
Jonathan Phillips,11/23/2017 12:31:38 AM,11/23/2017 12:45:00 AM,Credit Card,1,4.5,14.5,0,0
Richard Campbell,11/11/2017 1:39:55 PM,11/11/2017 2:53:05 PM,Credit Card,1,13.61,55,11.16,0
Robert Blackburn,08/14/2017 12:26:31 PM,08/14/2017 12:49:29 PM,Cash,3,4.5,19,0,0
Natasha Molina,03/13/2017 3:40:17 PM,03/13/2017 3:48:35 PM,Debit Card,1,1.1,7.5,1.65,0
Michele Davis,07/16/2017 1:33:20 AM,07/16/2017 1:38:08 AM,Credit Card,1,1.29,6,1.46,0
Andrea Fernandez,09/01/2017 7:03:24 PM,09/01/2017 7:11:10 PM,Debit Card,2,1.54,7.5,0,0
Julia Morales,05/17/2017 9:16:15 PM,05/17/2017 9:22:45 PM,Debit Card,2,1.3,6.5,0,0
Jordan Short,11/04/2017 7:29:21 PM,11/04/2017 7:37:57 PM,Debit Card,1,1,7,1.55,0
Linda Freeman,09/14/2017 10:57:36 AM,09/14/2017 11:08:46 AM,Debit Card,1,1.3,9,1.95,0
Michael Jackson,05/13/2017 2:01:05 PM,05/13/2017 2:05:15 PM,Cash,1,0.7,5,0,0
Jesse Goodman,10/05/2017 5:05:41 PM,10/05/2017 5:13:12 PM,Debit Card,2,1.1,7,2,0
Christopher Simon,10/10/2017 8:17:38 PM,10/10/2017 8:24:12 PM,Cash,1,1.24,6.5,1.56,0
